Event ID;Event Type;Event Status;Location; Specific Location;Consequences;RAM Potential;RAM Actual;Task / Activity;Risk Area;Event/Consequence: Consequence;Event: Consequences;Event: Human Factors;Event: Potential Severity - People;Event: Potential Severity - Asset;Event: Potential Severity - Community;Event: Potential Severity - Environmental
465111;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Environment;3B;1;Decommissioning and demolition;Process safety;Incident;Environment,Asset Damage,People,Community;Task and procedure design;3. Major Injury or Health Effect;0. No Damage;0. No Effect;3. Moderate Effect
465111;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;Environment;3B;1;Decommissioning and demolition;Process safety;Incident;Environment,Asset Damage,People,Community;Team communication, coordination, planning;3. Major Injury or Health Effect;0. No Damage;0. No Effect;3. Moderate Effect
530302;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Main Deck;Asset Damage;2B;2;Drilling, workover, well services;Maritime and water related;Incident;People,Asset Damage;I don't know;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
530302;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Main Deck;Asset Damage;2B;2;Other;Maritime and water related;Incident;People,Asset Damage;I don't know;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
531412;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;BOP Deck;People;1C;1;Maintenance, inspection, testing;Minor cuts, abrasions, burns or punctures;Incident;People;Task and procedure design;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
531412;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;BOP Deck;People;1C;1;Maintenance, inspection, testing;Minor cuts, abrasions, burns or punctures;Incident;People;Tools, equipment and workspace;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
553565;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Rig Floor;People;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;People;I don't know;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
565704;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Subsea Area;Asset Damage;2D;;Drilling, workover, well services;Dropped or fallen objects;Near Miss;Asset Damage;;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
565793;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;Living Quarters;People;1D;1;Office, accommodation, catering;Non work-related illness, injury or death;Incident;People;;1. Slight Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
2300421;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;1D;1;Other;;Incident Historic;;;1. Slight Injury or Health Effect;;;
2300421;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;1D;1;Walking, ascending, descending;;Incident Historic;;;1. Slight Injury or Health Effect;;;
2301212;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;2C;0;;;Near Miss Historic;People;;2. Minor Injury or Health Effect;;;
2301673;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;1D;1;Normal operation;;Incident Historic;;;1. Slight Injury or Health Effect;;;
2301742;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;2D;2;Normal operation;;Incident Historic;;;2. Minor Injury or Health Effect;;;
2301742;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;2D;2;Walking, ascending, descending;;Incident Historic;;;2. Minor Injury or Health Effect;;;
2302055;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;Environment;2C;0;;;Near Miss Historic;Environment;;;;;2. Minor Effect
2326776;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;Asset Damage;2C;0;;;Near Miss Historic;;;;2. Minor Damage;;
2326975;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;;0;Normal operation;;Incident Historic;;;;;;
2327159;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;Asset Damage;4C;0;Lifting and hoisting;Dropped or fallen objects;Near Miss Historic;;;4. PTD or up to 3 Fatalities;2. Minor Damage;;
2327159;Near Miss;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;4C;0;Lifting and hoisting;Dropped or fallen objects;Near Miss Historic;;;4. PTD or up to 3 Fatalities;2. Minor Damage;;
2327160;Incident;Closed;PTW/D/BR - Well Delivery Brazil - Seadrill West Tellus;;People;2C;2;Maintenance, inspection, testing;;Incident Historic;;;2. Minor Injury or Health Effect;;;
341300;Observation;Closed;PTC/U/DB - Brazil - Marine;Nitshore;People;4D;;Confined space;Falls from height (people);Observation;;Task and procedure design;4. PTD or up to 3 Fatalities;0. No Damage;0. No Effect;0. No Effect
341300;Observation;Closed;PTC/U/DB - Brazil - Marine;Nitshore;People;4D;;Confined space;Falls from height (people);Observation;;Tools, equipment and workspace;4. PTD or up to 3 Fatalities;0. No Damage;0. No Effect;0. No Effect
341300;Observation;Closed;PTC/U/DB - Brazil - Marine;Nitshore;People;4D;;Isolation of hazardous energy;Falls from height (people);Observation;;Task and procedure design;4. PTD or up to 3 Fatalities;0. No Damage;0. No Effect;0. No Effect
341300;Observation;Closed;PTC/U/DB - Brazil - Marine;Nitshore;People;4D;;Isolation of hazardous energy;Falls from height (people);Observation;;Tools, equipment and workspace;4. PTD or up to 3 Fatalities;0. No Damage;0. No Effect;0. No Effect
359643;Incident;Closed;PTC/U/DB - Brazil - Marine;Vessel Operation (others);Asset Damage;1D;1;Lifting and hoisting;Maritime and water related;Incident;;;0. No Injury or Health Effect;1. Slight Damage;0. No Effect;0. No Effect
359643;Incident;Closed;PTC/U/DB - Brazil - Marine;Vessel Operation (others);Asset Damage;1D;1;Marine transport, operations and diving;Maritime and water related;Incident;;;0. No Injury or Health Effect;1. Slight Damage;0. No Effect;0. No Effect
380509;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Struck by moving objects or machinery;Observation;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
380509;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Struck by moving objects or machinery;Observation;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
380509;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Material transfer, fueling, loading, unloading;Struck by moving objects or machinery;Observation;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
380509;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Material transfer, fueling, loading, unloading;Struck by moving objects or machinery;Observation;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
384151;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Maintenance, inspection, testing;Caught in, under, or between;Observation;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
384151;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Caught in, under, or between;Observation;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
384151;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Material transfer, fueling, loading, unloading;Caught in, under, or between;Observation;People;Team communication, coordination, planning;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399645;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Maritime and water related;Observation;Asset Damage;Environmental conditions;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399646;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;People;Mental state;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399646;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;People;Task and procedure design;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399647;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Maritime and water related;Observation;People;Skills and capabilities;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399647;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Maritime and water related;Observation;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399650;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;People;Task and procedure design;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399650;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399654;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;Asset Damage;Task and procedure design;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399654;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;Asset Damage;Team communication, coordination, planning;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399654;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;Asset Damage;Tools, equipment and workspace;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399657;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;3D;;Marine transport, operations and diving;Maritime and water related;Observation;People;Skills and capabilities;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399657;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;3D;;Marine transport, operations and diving;Maritime and water related;Observation;People;Team communication, coordination, planning;3. Major Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399658;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Maritime and water related;Observation;People,Asset Damage;Skills and capabilities;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399658;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Maritime and water related;Observation;People,Asset Damage;Skills and capabilities;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399658;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Maritime and water related;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399658;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Maritime and water related;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
399659;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Dropped or fallen objects;Observation;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399660;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Manual handling, tool use;Struck by moving objects or machinery;Observation;People;Tools, equipment and workspace;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399662;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Manual handling, tool use;Caught in, under, or between;Observation;People;Skills and capabilities;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399664;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Manual handling, tool use;Slips and trips;Observation;People;Skills and capabilities;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
399664;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Manual handling, tool use;Slips and trips;Observation;People;Task and procedure design;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Process safety;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Process safety;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Process safety;Observation;People,Asset Damage;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Process safety;Observation;People,Asset Damage;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Material transfer, fueling, loading, unloading;Process safety;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Material transfer, fueling, loading, unloading;Process safety;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Material transfer, fueling, loading, unloading;Process safety;Observation;People,Asset Damage;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
405273;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Material transfer, fueling, loading, unloading;Process safety;Observation;People,Asset Damage;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452016;Near Miss;Closed;PTC/U/DB - Brazil - Marine;Vessel Operation (others);Asset Damage;2D;;Lifting and hoisting;Maritime and water related;Near Miss;;;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452016;Near Miss;Closed;PTC/U/DB - Brazil - Marine;Vessel Operation (others);Asset Damage;2D;;Marine transport, operations and diving;Maritime and water related;Near Miss;;;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452021;Observation;Closed;PTC/U/DB - Brazil - Marine;Vessel Operation (others);Asset Damage;2D;;Lifting and hoisting;Process safety;Observation;;;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452021;Observation;Closed;PTC/U/DB - Brazil - Marine;Vessel Operation (others);People;2D;;Lifting and hoisting;Process safety;Observation;;;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452858;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Maritime and water related;Observation;;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452858;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Maritime and water related;Observation;;Tools, equipment and workspace;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452869;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Maritime and water related;Observation;;;0. No Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
452925;Observation;Closed;PTC/U/DB - Brazil - Marine;;;;;Marine transport, operations and diving;;Observation;;;0. No Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
452925;Observation;Closed;PTC/U/DB - Brazil - Marine;;;;;Material transfer, fueling, loading, unloading;;Observation;;;0. No Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
452938;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Slips and trips;Observation;;;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
452938;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Walking, ascending, descending;Slips and trips;Observation;;;2. Minor Injury or Health Effect;0. No Damage;0. No Effect;0. No Effect
456267;Near Miss;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;3D;;Lifting and hoisting;Struck by moving objects or machinery;Near Miss;;;0. No Injury or Health Effect;3. Moderate Damage;0. No Effect;0. No Effect
456267;Near Miss;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;3D;;Marine transport, operations and diving;Struck by moving objects or machinery;Near Miss;;;0. No Injury or Health Effect;3. Moderate Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Cleaning, housekeeping;Struck by moving objects or machinery;Observation;People,Asset Damage;Task and procedure design;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Cleaning, housekeeping;Struck by moving objects or machinery;Observation;People,Asset Damage;Task and procedure design;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Cleaning, housekeeping;Struck by moving objects or machinery;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Cleaning, housekeeping;Struck by moving objects or machinery;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Struck by moving objects or machinery;Observation;People,Asset Damage;Task and procedure design;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Struck by moving objects or machinery;Observation;People,Asset Damage;Task and procedure design;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;Asset Damage;2D;;Marine transport, operations and diving;Struck by moving objects or machinery;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
456279;Observation;Closed;PTC/U/DB - Brazil - Marine;;People;2D;;Marine transport, operations and diving;Struck by moving objects or machinery;Observation;People,Asset Damage;Team communication, coordination, planning;2. Minor Injury or Health Effect;2. Minor Damage;0. No Effect;0. No Effect
